 Vendor Name , Department ,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
My Foodiverse Llp,Facilities,"$2,489",My Foodiverse Llp provides corporate catering with office meals and event food services,Consolidate - Fragmented catering - consolidate with facilities or single caterer
4Imprint Direct Ltd,Marketing,"$2,436",4Imprint Direct Ltd provides printing and promotional merchandise for marketing campaigns,"Consolidate - Small vendor ($2,436) - consolidate with preferred suppliers"
City Pantry Ltd,Facilities,"$2,419",City Pantry Ltd provides corporate catering with office meals and event food services,"Consolidate - Small vendor ($2,419) - consolidate with preferred suppliers"
Stipe Piric,G&A,"$2,302",Stipe Piric provides contractors services for business operations,"Consolidate - Small vendor ($2,302) - consolidate with preferred suppliers"
Office Move London,Facilities,"$2,293",Office Move London provides commercial office space and workspace solutions,"Consolidate - Small vendor ($2,293) - consolidate with preferred suppliers"
Pink Ribbon Shop,G&A,"$2,251",Pink Ribbon Shop provides corporate gifts services for business operations,"Consolidate - Small vendor ($2,251) - consolidate with preferred suppliers"
Starhub Ltd (Supplier),SaaS,"$2,205",Starhub Ltd (Supplier) provides telecom services for business operations,"Consolidate - Small vendor ($2,205) - consolidate with preferred suppliers"
N S Shastri And Co,G&A,"$2,194",N S Shastri And Co provides general services services for business operations,"Consolidate - Small vendor ($2,194) - consolidate with preferred suppliers"
John Smith,G&A,"$2,163",John Smith provides contractors services for business operations,"Consolidate - Small vendor ($2,163) - consolidate with preferred suppliers"
Fabiola Thistlewhaite,G&A,"$2,154",Fabiola Thistlewhaite provides contractors services for business operations,"Consolidate - Small vendor ($2,154) - consolidate with preferred suppliers"
Hp Inc Uk Limited,G&A,"$2,136",Hp Inc Uk Limited provides hardware services for business operations,"Consolidate - Small vendor ($2,136) - consolidate with preferred suppliers"
Cision Pr Newswire,Marketing,"$2,110",Cision Pr Newswire provides marketing automation and analytics tools for campaign management,"Consolidate - Small vendor ($2,110) - consolidate with preferred suppliers"
George Anchor,G&A,"$2,107",George Anchor provides contractors services for business operations,"Consolidate - Small vendor ($2,107) - consolidate with preferred suppliers"
"Yoxel, Inc",G&A,"$2,044","Yoxel, Inc provides us services services for business operations","Consolidate - Small vendor ($2,044) - consolidate with preferred suppliers"
Grt Hotels And Resorts P Ltd,Facilities,"$2,032",Grt Hotels And Resorts P Ltd provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Apple Pty Ltd,G&A,"$2,031",Apple Pty Ltd provides hardware services for business operations,"Consolidate - Small vendor ($2,031) - consolidate with preferred suppliers"
Slack Technologies Limited,SaaS,"$1,989","Slack Technologies Limited offers team messaging platform with channels, direct messaging, and third-party app integrations","Terminate - Redundant with Microsoft Teams in M365 - migrate users, save $2K annually"
G S Notary Public Limited,Legal,"$1,935",G S Notary Public Limited provides notary public services for document authentication,"Consolidate - Small vendor ($1,935) - consolidate with preferred suppliers"
Apple Distribution International Ltd,G&A,"$1,913",Apple Distribution International Ltd provides hardware services for business operations,"Consolidate - Small vendor ($1,913) - consolidate with preferred suppliers"
Porezno Savjetniå¡Tvo Tuk D.O.O.,Professional Services,"$1,813",Porezno Savjetniå¡Tvo Tuk D.O.O. provides regional consulting services for business operations,"Consolidate - Small vendor ($1,813) - consolidate with preferred suppliers"
Susan Lee,G&A,"$1,762",Susan Lee provides contractors services for business operations,"Consolidate - Small vendor ($1,762) - consolidate with preferred suppliers"
Ansar Madovic,G&A,"$1,732",Ansar Madovic provides contractors services for business operations,"Consolidate - Small vendor ($1,732) - consolidate with preferred suppliers"
"Radius Group, Inc",G&A,"$1,723","Radius Group, Inc provides us services services for business operations","Consolidate - Small vendor ($1,723) - consolidate with preferred suppliers"
Aquila Remete D.O.O.,G&A,"$1,706",Aquila Remete D.O.O. provides croatian services services for business operations,"Consolidate - Small vendor ($1,706) - consolidate with preferred suppliers"
Clime India Private Limited,G&A,"$1,678",Clime India Private Limited provides uk services services for business operations,"Consolidate - Small vendor ($1,678) - consolidate with preferred suppliers"
"Golden Mean, Inc",G&A,"$1,659","Golden Mean, Inc provides us services services for business operations","Consolidate - Small vendor ($1,659) - consolidate with preferred suppliers"
Paint & Fun Vl. Martina Milkova Nikolova,G&A,"$1,654",Paint & Fun Vl. Martina Milkova Nikolova provides entertainment services for business operations,"Consolidate - Small vendor ($1,654) - consolidate with preferred suppliers"
Carrington Communications,G&A,"$1,654",Carrington Communications provides contractors services for business operations,"Consolidate - Small vendor ($1,654) - consolidate with preferred suppliers"
Crayond Digital Private Limited,Engineering,"$1,646",Crayond Digital Private Limited provides technology services services for business operations,"Consolidate - Small vendor ($1,646) - consolidate with preferred suppliers"
Studentski Centar Karlovac,G&A,"$1,549",Studentski Centar Karlovac provides general services services for business operations,"Consolidate - Small vendor ($1,549) - consolidate with preferred suppliers"
Lajnap Comedy Booking D.O.O.,G&A,"$1,536",Lajnap Comedy Booking D.O.O. provides travel services services for business operations,"Consolidate - Small vendor ($1,536) - consolidate with preferred suppliers"
British Telecommunications,SaaS,"$1,493",British Telecommunications provides telecom services for business operations,Consolidate - Regional telecom - include in global consolidation for volume leverage
Etm Concessions Ltd,G&A,"$1,419",Etm Concessions Ltd provides uk services services for business operations,"Consolidate - Small vendor ($1,419) - consolidate with preferred suppliers"
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,Facilities,"$1,406",Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Ariba Inc,SaaS,"$1,363",Ariba Inc provides procurement and vendor management platform,"Consolidate - Small vendor ($1,363) - consolidate with preferred suppliers"
Chamiers Recreation Club,G&A,"$1,338",Chamiers Recreation Club provides recreation services for business operations,"Consolidate - Small vendor ($1,338) - consolidate with preferred suppliers"
Quadrant Law Llc,Legal,"$1,327",Quadrant Law Llc provides legal services including corporate law and contracts,"Consolidate - Multiple law firms - preferred panel (2-3), 10% volume discount"
Docusign,SaaS,"$1,308",Docusign delivers electronic signature platform for digital document signing and contract management,"Consolidate - Small vendor ($1,308) - consolidate with preferred suppliers"
Inside Edge Novated Leasing,G&A,"$1,287",Inside Edge Novated Leasing provides general services services for business operations,"Consolidate - Small vendor ($1,287) - consolidate with preferred suppliers"
Rhea D.O.O.,G&A,"$1,253",Rhea D.O.O. provides croatian services services for business operations,"Consolidate - Small vendor ($1,253) - consolidate with preferred suppliers"
P S Recreation Club,G&A,"$1,219",P S Recreation Club provides recreation services for business operations,"Consolidate - Small vendor ($1,219) - consolidate with preferred suppliers"
Fastspring,G&A,"$1,179",Fastspring provides general services services for business operations,"Consolidate - Small vendor ($1,179) - consolidate with preferred suppliers"
Dsv Solutions A/S,G&A,"$1,162",Dsv Solutions A/S provides freight services for business operations,"Consolidate - Small vendor ($1,162) - consolidate with preferred suppliers"
Curzon Green Solicitors,Legal,"$1,158",Curzon Green Solicitors provides legal services including corporate law and contracts,"Consolidate - Multiple law firms - preferred panel (2-3), 10% volume discount"
Icare Nsw,G&A,"$1,150",Icare Nsw provides workers comp services for business operations,"Consolidate - Small vendor ($1,150) - consolidate with preferred suppliers"
Thomas Mansfield Solicitors Limited,Legal,"$1,135",Thomas Mansfield Solicitors Limited provides legal services including corporate law and contracts,"Consolidate - Multiple law firms - preferred panel (2-3), 10% volume discount"
Amazon.Co.Uk,G&A,"$1,107",Amazon.Co.Uk provides hardware services for business operations,"Consolidate - Small vendor ($1,107) - consolidate with preferred suppliers"
Backoffice Associates,Facilities,"$1,080",Backoffice Associates provides commercial office space and workspace solutions,"Consolidate - Small vendor ($1,080) - consolidate with preferred suppliers"
Oladi D.O.O.,G&A,"$1,064",Oladi D.O.O. provides croatian services services for business operations,"Consolidate - Small vendor ($1,064) - consolidate with preferred suppliers"
Integrated Personnel Services,G&A,"$1,054",Integrated Personnel Services provides general services services for business operations,"Consolidate - Small vendor ($1,054) - consolidate with preferred suppliers"
Mãœller Trgovina Zagreb D.O.O.,Facilities,"$1,051",Mãœller Trgovina Zagreb D.O.O. provides corporate catering with office meals and event food services,"Consolidate - Small vendor ($1,051) - consolidate with preferred suppliers"
Lunch Nutrition D.O.O.,G&A,"$1,012",Lunch Nutrition D.O.O. provides croatian services services for business operations,"Consolidate - Small vendor ($1,012) - consolidate with preferred suppliers"
Winmaxi Tours & Travels,G&A,"$1,001",Winmaxi Tours & Travels provides travel services services for business operations,"Consolidate - Small vendor ($1,001) - consolidate with preferred suppliers"
Digitalna Produkcija J.D.O.O.,Engineering,$993,Digitalna Produkcija J.D.O.O. provides regional IT services and technology solutions for local operations,Consolidate - Low spend ($993) - absorb into existing contracts or P-card
Computershare-Caboodle Technology Limited,Finance,$981,Computershare-Caboodle Technology Limited provides share registry and investor services,Consolidate - Low spend ($981) - absorb into existing contracts or P-card
Allianz Wa,G&A,$971,Allianz Wa provides insurance services for business operations,Consolidate - Low spend ($971) - absorb into existing contracts or P-card
Trending Technology Services Gmbh,Engineering,$961,Trending Technology Services Gmbh provides europe it services for business operations,Consolidate - Low spend ($961) - absorb into existing contracts or P-card
"Godaddy.Com, Llc",G&A,$923,"Godaddy.Com, Llc provides us services services for business operations",Consolidate - Low spend ($923) - absorb into existing contracts or P-card
Time Out Group,G&A,$920,Time Out Group provides general services services for business operations,Consolidate - Low spend ($920) - absorb into existing contracts or P-card
Raiffeisenbank Austria D.D.,G&A,$920,Raiffeisenbank Austria D.D. provides croatian services services for business operations,Consolidate - Low spend ($920) - absorb into existing contracts or P-card
Galop-Prijevoz D.O.O.,G&A,$908,Galop-Prijevoz D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($908) - absorb into existing contracts or P-card
Lane Ip Limited,Legal,$851,Lane Ip Limited provides intellectual property services for patents and trademarks,Consolidate - Low spend ($851) - absorb into existing contracts or P-card
Urbani Eventi D.O.O.,G&A,$851,Urbani Eventi D.O.O. provides events services for business operations,Consolidate - Low spend ($851) - absorb into existing contracts or P-card
Smashing Media Ag,Marketing,$850,Smashing Media Ag provides advertising and media services for brand awareness,Consolidate - Low spend ($850) - absorb into existing contracts or P-card
Epignosis Llc,G&A,$833,Epignosis Llc provides l&d services for business operations,Consolidate - Low spend ($833) - absorb into existing contracts or P-card
Croatia Airlines,G&A,$832,Croatia Airlines provides airlines services for business operations,Consolidate - Low spend ($832) - absorb into existing contracts or P-card
Bb Football Scouting J.D.O.O.,G&A,$823,Bb Football Scouting J.D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($823) - absorb into existing contracts or P-card
Boe Croatia D.O.O.,G&A,$814,Boe Croatia D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($814) - absorb into existing contracts or P-card
Potomac D.O.O.,G&A,$806,Potomac D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($806) - absorb into existing contracts or P-card
"President Hotel And Tower Co., Ltd",Facilities,$803,"President Hotel And Tower Co., Ltd provides commercial office space and workspace solutions",Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Friends Sports Club,G&A,$797,Friends Sports Club provides recreation services for business operations,Consolidate - Low spend ($797) - absorb into existing contracts or P-card
The Cycle Gap Adyar,G&A,$765,The Cycle Gap Adyar provides general services services for business operations,Consolidate - Low spend ($765) - absorb into existing contracts or P-card
Apple - Amer,G&A,$764,Apple - Amer provides hardware services for business operations,Consolidate - Low spend ($764) - absorb into existing contracts or P-card
Klg - Kalra Legal Group,Legal,$681,Klg - Kalra Legal Group provides legal services including corporate law and contracts,Consolidate - Multiple India law firms - single primary for consistency
Kilgannon & Partners Llp,Legal,$681,Kilgannon & Partners Llp provides legal services including corporate law and contracts,"Consolidate - Multiple law firms - preferred panel (2-3), 10% volume discount"
Uk Postbox Limited,G&A,$670,Uk Postbox Limited provides uk services services for business operations,Consolidate - Low spend ($670) - absorb into existing contracts or P-card
Catering Iviä‡ D.O.O.,Facilities,$669,Catering Iviä‡ D.O.O. provides corporate catering with office meals and event food services,Consolidate - Fragmented catering - consolidate with facilities or single caterer
Blink Events,G&A,$664,Blink Events provides events services for business operations,Consolidate - Low spend ($664) - absorb into existing contracts or P-card
Grafo-Jan,G&A,$662,Grafo-Jan provides general services services for business operations,Consolidate - Low spend ($662) - absorb into existing contracts or P-card
Mesa Verde,G&A,$662,Mesa Verde provides contractors services for business operations,Consolidate - Low spend ($662) - absorb into existing contracts or P-card
Pixsy Inc,G&A,$613,Pixsy Inc provides contractors services for business operations,Consolidate - Low spend ($613) - absorb into existing contracts or P-card
Dun & Bradstreet D.O.O.,G&A,$610,Dun & Bradstreet D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($610) - absorb into existing contracts or P-card
Induslaw,Legal,$596,Induslaw provides legal services including corporate law and contracts,Consolidate - Multiple India law firms - single primary for consistency
Trans-Agram Obrt Za Dostavu,G&A,$581,Trans-Agram Obrt Za Dostavu provides europe services services for business operations,Consolidate - Low spend ($581) - absorb into existing contracts or P-card
Landu Law Solicitors,Legal,$568,Landu Law Solicitors provides legal services including corporate law and contracts,"Consolidate - Multiple law firms - preferred panel (2-3), 10% volume discount"
Arena Center Zagreb D.O.O.,G&A,$567,Arena Center Zagreb D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($567) - absorb into existing contracts or P-card
Obrt Za Ugostiteljstvo Mirakul,G&A,$565,Obrt Za Ugostiteljstvo Mirakul provides general services services for business operations,Consolidate - Low spend ($565) - absorb into existing contracts or P-card
Oakberry Jr D.O.O.,G&A,$535,Oakberry Jr D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($535) - absorb into existing contracts or P-card
Tau On-Line D.O.O.,G&A,$534,Tau On-Line D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($534) - absorb into existing contracts or P-card
Magic Mountain Saloon,G&A,$524,Magic Mountain Saloon provides europe services services for business operations,Consolidate - Low spend ($524) - absorb into existing contracts or P-card
Hotel Zonar,Facilities,$523,Hotel Zonar provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Roto Dinamic D.O.O.,G&A,$512,Roto Dinamic D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($512) - absorb into existing contracts or P-card
Tm Forum,G&A,$510,Tm Forum provides associations services for business operations,Consolidate - Low spend ($510) - absorb into existing contracts or P-card
Marvie Hotel - Krupa D.O.O.,Facilities,$502,Marvie Hotel - Krupa D.O.O. provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Merchandise Ltd,Marketing,$490,Merchandise Ltd provides printing and promotional merchandise for marketing campaigns,Consolidate - Low spend ($490) - absorb into existing contracts or P-card
Yellow Submarine D.O.O.,G&A,$486,Yellow Submarine D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($486) - absorb into existing contracts or P-card
Streamlinereforms Inc,G&A,$483,Streamlinereforms Inc provides contractors services for business operations,Consolidate - Low spend ($483) - absorb into existing contracts or P-card
Make And Grow Ltd,G&A,$483,Make And Grow Ltd provides uk services services for business operations,Consolidate - Low spend ($483) - absorb into existing contracts or P-card
Obiteljski Hoteli D.O.O.,Facilities,$474,Obiteljski Hoteli D.O.O. provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Rudan D.O.O.,G&A,$473,Rudan D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($473) - absorb into existing contracts or P-card
Entrio Tehnologije D.O.O.,G&A,$473,Entrio Tehnologije D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($473) - absorb into existing contracts or P-card
Vivat Fina Vina D.O.O.,Facilities,$467,Vivat Fina Vina D.O.O. provides corporate catering with office meals and event food services,Consolidate - Low spend ($467) - absorb into existing contracts or P-card
"Figma, Inc.",Product,$460,"Figma, Inc. provides product management and design tools for roadmapping and prototyping",Consolidate - Low spend ($460) - absorb into existing contracts or P-card
E-Disti D.O.O.,G&A,$458,E-Disti D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($458) - absorb into existing contracts or P-card
Greencell Express Private Limited,G&A,$457,Greencell Express Private Limited provides uk services services for business operations,Consolidate - Low spend ($457) - absorb into existing contracts or P-card
Edwardian Pastoria Hotels Ltd (The Londoner),Facilities,$433,Edwardian Pastoria Hotels Ltd (The Londoner) provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Tiganda J.D.O.O.,G&A,$432,Tiganda J.D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($432) - absorb into existing contracts or P-card
"Franklin, Gringer & Cohen, P.C.",G&A,$427,"Franklin, Gringer & Cohen, P.C. provides general services services for business operations",Consolidate - Low spend ($427) - absorb into existing contracts or P-card
Blitz - Cinestar D.O.O.,G&A,$426,Blitz - Cinestar D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($426) - absorb into existing contracts or P-card
Lancefield Bus Service,G&A,$412,Lancefield Bus Service provides general services services for business operations,Consolidate - Low spend ($412) - absorb into existing contracts or P-card
Super Odrediå¡Te D.O.O.,G&A,$378,Super Odrediå¡Te D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($378) - absorb into existing contracts or P-card
Pmi Global Operations Center,G&A,$378,Pmi Global Operations Center provides associations services for business operations,Consolidate - Low spend ($378) - absorb into existing contracts or P-card
Student Packers & Movers,G&A,$371,Student Packers & Movers provides general services services for business operations,Consolidate - Low spend ($371) - absorb into existing contracts or P-card
Del Posto D.O.O.,G&A,$364,Del Posto D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($364) - absorb into existing contracts or P-card
Inicijativa Centar Za Edukaciju,G&A,$358,Inicijativa Centar Za Edukaciju provides general services services for business operations,Consolidate - Low spend ($358) - absorb into existing contracts or P-card
Niva Transport J.D.O.O.,G&A,$358,Niva Transport J.D.O.O. provides recreation services for business operations,Consolidate - Low spend ($358) - absorb into existing contracts or P-card
Doctor Anywhere Operations Pte Ltd,G&A,$347,Doctor Anywhere Operations Pte Ltd provides wellness services for business operations,Consolidate - Low spend ($347) - absorb into existing contracts or P-card
Spar Hrvatska D.O.O.,G&A,$341,Spar Hrvatska D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($341) - absorb into existing contracts or P-card
Pepe'S Italian And Liquor,G&A,$339,Pepe'S Italian And Liquor provides general services services for business operations,Consolidate - Low spend ($339) - absorb into existing contracts or P-card
"Pluralsight, Llc",G&A,$318,"Pluralsight, Llc provides l&d services for business operations",Consolidate - Low spend ($318) - absorb into existing contracts or P-card
Maniax Melbourne Cbd,G&A,$315,Maniax Melbourne Cbd provides general services services for business operations,Consolidate - Low spend ($315) - absorb into existing contracts or P-card
Dnsimple,G&A,$312,Dnsimple provides general services services for business operations,Consolidate - Low spend ($312) - absorb into existing contracts or P-card
Treci Posao D.O.O.,G&A,$307,Treci Posao D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($307) - absorb into existing contracts or P-card
Gaucho Restaurants,Facilities,$302,Gaucho Restaurants provides food and beverage services for office refreshments,Consolidate - Low spend ($302) - absorb into existing contracts or P-card
Formswift,G&A,$301,Formswift provides general services services for business operations,Consolidate - Low spend ($301) - absorb into existing contracts or P-card
Safestore Ltd,G&A,$287,Safestore Ltd provides storage services for business operations,Consolidate - Low spend ($287) - absorb into existing contracts or P-card
Split Tech City,G&A,$284,Split Tech City provides municipal services for business operations,Consolidate - Low spend ($284) - absorb into existing contracts or P-card
National Securities Depository Limited(Nsdl),Finance,$281,National Securities Depository Limited(Nsdl) provides share registry and investor services,Consolidate - Low spend ($281) - absorb into existing contracts or P-card
Adamma Info Services Private Limited,G&A,$273,Adamma Info Services Private Limited provides uk services services for business operations,Consolidate - Low spend ($273) - absorb into existing contracts or P-card
The Riding House Cafe,Facilities,$265,The Riding House Cafe provides food and beverage services for office refreshments,Consolidate - Low spend ($265) - absorb into existing contracts or P-card
Stillmark Zagreb D.O.O.,G&A,$263,Stillmark Zagreb D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($263) - absorb into existing contracts or P-card
Lastpass Ireland Limited,SaaS,$263,Lastpass Ireland Limited provides password management with secure credential storage and team password sharing,Consolidate - Low spend ($263) - absorb into existing contracts or P-card
Taste Of Health,G&A,$259,Taste Of Health provides general services services for business operations,Consolidate - Low spend ($259) - absorb into existing contracts or P-card
Infodata,G&A,$241,Infodata provides general services services for business operations,Consolidate - Low spend ($241) - absorb into existing contracts or P-card
Amazon (Aus),G&A,$233,Amazon (Aus) provides hardware services for business operations,Consolidate - Low spend ($233) - absorb into existing contracts or P-card
Regency Hampers Ltd,G&A,$248,Regency Hampers Ltd provides corporate gifts services for business operations,Consolidate - Low spend ($248) - absorb into existing contracts or P-card
Bella Operation A/S,G&A,$241,Bella Operation A/S provides general services services for business operations,Consolidate - Low spend ($241) - absorb into existing contracts or P-card
The Plant Man,Facilities,$235,The Plant Man provides facilities services including cleaning and maintenance,Consolidate - Low spend ($235) - absorb into existing contracts or P-card
Media Promo Plus D.O.O.,Marketing,$226,Media Promo Plus D.O.O. provides printing and promotional merchandise for marketing campaigns,Consolidate - Low spend ($226) - absorb into existing contracts or P-card
Expert-Ing D.O.O.,G&A,$225,Expert-Ing D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($225) - absorb into existing contracts or P-card
Atlassian Pty Ltd,Engineering,$224,"Atlassian Pty Ltd provides software development tools for coding, collaboration, and deployment",Consolidate - Low spend ($224) - absorb into existing contracts or P-card
Djs For U,G&A,$220,Djs For U provides entertainment services for business operations,Consolidate - Low spend ($220) - absorb into existing contracts or P-card
Freepik Company,G&A,$203,Freepik Company provides contractors services for business operations,Consolidate - Low spend ($203) - absorb into existing contracts or P-card
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,G&A,$199,Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar provides general services services for business operations,Consolidate - Low spend ($199) - absorb into existing contracts or P-card
Rishi Events And Entainment,G&A,$198,Rishi Events And Entainment provides events services for business operations,Consolidate - Low spend ($198) - absorb into existing contracts or P-card
Kosmaz Technologies Croatia,G&A,$195,Kosmaz Technologies Croatia provides general services services for business operations,Consolidate - Low spend ($195) - absorb into existing contracts or P-card
Dhl,G&A,$191,Dhl provides courier services for business operations,Consolidate - Duplicate DHL - consolidate with primary for volume discount
Hotel Laguna D.D.,Facilities,$190,Hotel Laguna D.D. provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Bigshare Services Private Limited,Finance,$188,Bigshare Services Private Limited provides share registry and investor services,Consolidate - Low spend ($188) - absorb into existing contracts or P-card
Zettanet,G&A,$183,Zettanet provides general services services for business operations,Consolidate - Low spend ($183) - absorb into existing contracts or P-card
Hahn Air,G&A,$183,Hahn Air provides airlines services for business operations,Consolidate - Low spend ($183) - absorb into existing contracts or P-card
Vitality Works,G&A,$182,Vitality Works provides wellness services for business operations,Consolidate - Low spend ($182) - absorb into existing contracts or P-card
Avoxi Inc,SaaS,$178,Avoxi Inc provides voip services for business operations,Consolidate - Low spend ($178) - absorb into existing contracts or P-card
Zapier Inc.,SaaS,$167,Zapier Inc. provides workflow automation connecting web applications and automating repetitive tasks,Consolidate - Low spend ($167) - absorb into existing contracts or P-card
"Solarwinds, Inc",Engineering,$166,"Solarwinds, Inc provides application monitoring and observability tools for system health",Consolidate - Low spend ($166) - absorb into existing contracts or P-card
Xenon Savjetovanje D.O.O.,Professional Services,$164,Xenon Savjetovanje D.O.O. provides regional consulting services for business operations,Consolidate - Low spend ($164) - absorb into existing contracts or P-card
Floom Ltd,G&A,$162,Floom Ltd provides contractors services for business operations,Consolidate - Low spend ($162) - absorb into existing contracts or P-card
Notino S.R.O.,G&A,$161,Notino S.R.O. provides czech services services for business operations,Consolidate - Low spend ($161) - absorb into existing contracts or P-card
"Paint&Wine, Vl. Stevo Dosen",G&A,$159,"Paint&Wine, Vl. Stevo Dosen provides entertainment services for business operations",Consolidate - Low spend ($159) - absorb into existing contracts or P-card
Parcelforce Worldwide,G&A,$155,Parcelforce Worldwide provides courier services for business operations,"Consolidate - Multiple couriers - consolidate to DHL primary, 20% volume discount"
Advena,G&A,$154,Advena provides general services services for business operations,Consolidate - Low spend ($154) - absorb into existing contracts or P-card
Hrvatski Nezavisnici Izvoznici Softvera,SaaS,$154,Hrvatski Nezavisnici Izvoznici Softvera provides telecom services for business operations,Consolidate - Low spend ($154) - absorb into existing contracts or P-card
Monile J.D.O.O.,G&A,$152,Monile J.D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($152) - absorb into existing contracts or P-card
Puzzle Promotion J.D.O.O.,Marketing,$143,Puzzle Promotion J.D.O.O. provides printing and promotional merchandise for marketing campaigns,Consolidate - Low spend ($143) - absorb into existing contracts or P-card
ZagrebaäKi Holding D.O.O.,Facilities,$143,ZagrebaäKi Holding D.O.O. provides utility services for office operations,Consolidate - Low spend ($143) - absorb into existing contracts or P-card
Event Ors,G&A,$143,Event Ors provides events services for business operations,Consolidate - Low spend ($143) - absorb into existing contracts or P-card
Sportkart D.O.O.,G&A,$141,Sportkart D.O.O. provides recreation services for business operations,Consolidate - Low spend ($141) - absorb into existing contracts or P-card
"Interaction Design Foundation, Inc",G&A,$138,"Interaction Design Foundation, Inc provides us services services for business operations",Consolidate - Low spend ($138) - absorb into existing contracts or P-card
(Blank),G&A,$137,(Blank) is an unidentified vendor payment requiring immediate investigation to determine identity and purpose,"Terminate - Unknown vendor - investigate immediately, recover funds if fraudulent"
Escape Art D.O.O.,G&A,$133,Escape Art D.O.O. provides team building services for business operations,Consolidate - Low spend ($133) - absorb into existing contracts or P-card
Fero-Term,G&A,$131,Fero-Term provides general services services for business operations,Consolidate - Low spend ($131) - absorb into existing contracts or P-card
Ustanova Za Zdravstvenu Skrb P.P.,G&A,$131,Ustanova Za Zdravstvenu Skrb P.P. provides general services services for business operations,Consolidate - Low spend ($131) - absorb into existing contracts or P-card
Vistaprint,Marketing,$130,Vistaprint provides printing and promotional merchandise for marketing campaigns,Consolidate - Low spend ($130) - absorb into existing contracts or P-card
Teb Poslovno Savjetovanje D.O.O.,Professional Services,$129,Teb Poslovno Savjetovanje D.O.O. provides regional consulting services for business operations,Consolidate - Low spend ($129) - absorb into existing contracts or P-card
Illunis D.O.O.,G&A,$128,Illunis D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($128) - absorb into existing contracts or P-card
The Cook Kitchen,Facilities,$123,The Cook Kitchen provides corporate catering with office meals and event food services,Consolidate - Fragmented catering - consolidate with facilities or single caterer
Australian Taxation Office (Ato),Facilities,$123,Australian Taxation Office (Ato) provides commercial office space and workspace solutions,Consolidate - Low spend ($123) - absorb into existing contracts or P-card
Capitol Services,G&A,$120,Capitol Services provides contractors services for business operations,Consolidate - Low spend ($120) - absorb into existing contracts or P-card
Bonus Opinio D.O.O.,G&A,$120,Bonus Opinio D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($120) - absorb into existing contracts or P-card
Dhl Express (Uk) Ltd,G&A,$119,Dhl Express (Uk) Ltd provides courier services for business operations,Consolidate - Duplicate DHL - consolidate with primary for volume discount
Kat'S Kitchen D.O.O.,Facilities,$119,Kat'S Kitchen D.O.O. provides corporate catering with office meals and event food services,Consolidate - Fragmented catering - consolidate with facilities or single caterer
Soho Kitchen Ltd,Facilities,$104,Soho Kitchen Ltd provides corporate catering with office meals and event food services,Consolidate - Fragmented catering - consolidate with facilities or single caterer
Fortis Trade J.D.O.O.,G&A,$95,Fortis Trade J.D.O.O. provides retail services for business operations,Consolidate - Low spend ($95) - absorb into existing contracts or P-card
Till Trade D.O.O.,G&A,$93,Till Trade D.O.O. provides retail services for business operations,Consolidate - Low spend ($93) - absorb into existing contracts or P-card
